season,mnth,holiday,weekday,weathersit,temp,hum,windspeed,casual,registered
3,8,0,2,1,0.726667,0.686667,0.169158,1128,5656
4,11,1,5,1,0.324167,0.44625,0.314675,440,2928
2,4,0,4,2,0.6175,0.700833,0.320908,569,3489
4,11,0,2,2,0.374167,0.685,0.082725,534,5100
4,11,0,4,2,0.341667,0.575833,0.305362,139,2914
1,1,0,2,1,0.15,0.44125,0.365671,89,2147
4,11,0,1,1,0.395,0.75875,0.057225,373,3662
3,9,0,0,1,0.653333,0.71375,0.115054,1633,3413
2,6,0,4,2,0.808333,0.568333,0.149883,563,3352
3,8,0,4,2,0.684167,0.771667,0.210833,435,3107
4,11,0,2,2,0.53,0.68875,0.199633,449,3746
2,4,0,5,2,0.3,0.68625,0.258708,307,1920
3,8,0,0,1,0.707059,0.561765,0.304659,1415,2919
3,9,0,5,2,0.65,0.897917,0.124379,417,3127
1,2,0,2,1,0.354167,0.49625,0.147379,199,4176
1,2,0,3,1,0.348333,0.53125,0.1816,141,4028
4,11,0,1,2,0.380833,0.623333,0.235067,449,5050
2,5,0,6,1,0.6025,0.626667,0.12065,2258,3547
4,10,0,2,1,0.468333,0.558333,0.182221,922,6612
1,2,0,6,2,0.233333,0.929167,0.161079,100,905
3,8,0,1,1,0.636667,0.554583,0.159825,729,3905
3,7,0,6,2,0.703333,0.699167,0.143679,2355,4614
1,2,0,0,1,0.285217,0.407826,0.223235,639,1173
4,11,0,6,1,0.329167,0.502083,0.224496,943,2720
4,12,0,0,2,0.384167,0.905417,0.157975,441,2787
2,4,0,2,2,0.505833,0.665833,0.157971,409,2795
4,9,0,3,1,0.635,0.630833,0.2444,787,6946
3,9,0,2,2,0.623333,0.8725,0.357587,371,3702
1,3,0,5,1,0.54,0.525217,0.231017,884,2355
2,5,0,3,1,0.660833,0.69625,0.154233,740,4238
2,5,0,3,2,0.656667,0.67,0.134329,745,6110
1,2,0,3,2,0.134783,0.494783,0.188839,53,1552
3,7,1,1,2,0.726667,0.637917,0.0814792,3065,2978
2,6,0,3,2,0.764167,0.677083,0.207092,513,3461
1,1,0,4,1,0.19,0.4975,0.220158,130,3162
1,1,0,4,2,0.261667,0.538333,0.195904,83,1844
2,5,0,2,2,0.66,0.740833,0.207092,659,3833
2,6,0,6,1,0.583333,0.549167,0.186562,2795,5325
2,5,0,1,1,0.5775,0.787917,0.126871,773,3185
1,1,0,0,1,0.2825,0.31125,0.24005,558,2685
4,12,0,4,2,0.33,0.667917,0.132463,314,3814
4,10,0,3,2,0.3575,0.666667,0.166667,419,5147
2,6,0,5,1,0.639167,0.589583,0.176617,1563,6102
3,9,0,0,1,0.709167,0.742083,0.206467,2521,2419
3,9,0,4,1,0.546667,0.618333,0.118167,939,6781
2,4,0,0,2,0.426667,0.8575,0.146767,1188,1707
3,8,0,1,2,0.7525,0.654167,0.129354,1233,5780
4,12,0,3,2,0.2975,0.538333,0.162937,310,5009
2,6,0,5,1,0.649167,0.467917,0.175383,1488,6248
4,10,0,1,1,0.534167,0.579583,0.175379,713,3857
3,9,0,5,2,0.469167,0.590417,0.164183,742,4018
1,1,0,3,2,0.1075,0.414583,0.1847,95,2273
1,2,0,0,1,0.343478,0.68,0.125248,694,1708
4,10,0,1,1,0.34,0.703333,0.10635,362,3307
1,2,0,2,1,0.182222,0.577778,0.195683,74,1376
2,3,0,3,2,0.3,0.646667,0.172888,168,1368
2,5,0,5,1,0.479167,0.59,0.228246,894,3714
3,7,0,2,1,0.750833,0.655,0.211454,1140,6452
3,8,0,1,2,0.635833,0.734167,0.129979,1026,5504
3,8,0,0,1,0.710833,0.77,0.248754,1249,2624
1,1,0,6,1,0.18,0.4575,0.187183,333,2160
3,7,0,0,2,0.6675,0.7625,0.0939208,2544,4866
1,1,0,5,2,0.196522,0.498696,0.168726,148,1362
3,7,0,0,1,0.805833,0.480833,0.164813,1524,2778
4,10,0,3,2,0.6575,0.79375,0.0665458,728,6844
3,9,0,3,1,0.599167,0.577083,0.131846,1050,6820
2,4,0,2,1,0.631667,0.729167,0.3265,678,3722
1,1,0,4,1,0.195,0.6875,0.113837,15,416
4,11,0,5,1,0.298333,0.649583,0.0584708,362,5306
4,10,0,6,3,0.254167,0.8825,0.351371,57,570
3,8,0,2,1,0.783333,0.49125,0.20585,801,4044
2,5,0,6,2,0.520833,0.9225,0.13495,902,2507
1,2,1,1,2,0.303333,0.605,0.307846,195,912
2,5,0,3,1,0.636667,0.697917,0.122512,991,6433
3,7,0,2,1,0.746667,0.590417,0.126258,1031,3634
3,9,0,3,1,0.736667,0.74125,0.187808,832,6280
1,1,0,0,2,0.363478,0.696087,0.248539,131,670
2,4,1,5,1,0.446667,0.67125,0.226375,642,2484
4,10,0,1,2,0.561667,0.7075,0.296037,760,5115
1,2,0,6,2,0.264167,0.779583,0.121896,384,2448
1,3,0,6,1,0.2875,0.350417,0.22575,968,3150
2,5,0,3,1,0.5425,0.632917,0.120642,550,3632
1,2,0,0,1,0.279167,0.41,0.205229,515,2874
2,3,0,5,2,0.37,0.580833,0.138067,796,4663
1,2,0,3,2,0.344348,0.804783,0.179117,65,1769
2,5,0,2,2,0.615,0.765833,0.118167,819,5254
1,3,0,0,1,0.361739,0.476957,0.222587,1658,3253
3,9,1,1,2,0.673333,0.790417,0.212696,1236,2115
3,9,0,1,2,0.549167,0.69,0.151742,691,3848
1,2,0,1,1,0.415,0.375833,0.417908,208,1705
1,1,0,1,1,0.150833,0.482917,0.223267,41,1280
1,1,1,1,1,0.273043,0.381304,0.329665,244,1707
3,7,0,5,1,0.781667,0.594583,0.152992,1259,5645
3,8,0,4,1,0.755833,0.620417,0.1561,1196,6090
2,4,0,6,2,0.46,0.887917,0.230725,1462,2574
3,8,0,4,1,0.7175,0.42375,0.164796,812,3980
2,3,0,5,1,0.264167,0.495,0.230725,300,1910
4,12,0,0,2,0.3475,0.823333,0.124379,892,3757
3,7,0,1,1,0.763333,0.645,0.164187,1088,5742
3,8,0,6,2,0.6925,0.732917,0.206479,2247,4052
4,11,0,6,1,0.278333,0.404583,0.376871,532,1745
2,6,0,1,1,0.635,0.494583,0.30535,863,4157
3,8,0,1,1,0.765,0.592083,0.192175,846,3480
2,4,0,3,2,0.62,0.835417,0.3122,547,3325
4,9,0,6,1,0.5425,0.542917,0.227604,2589,5966
1,12,0,3,3,0.243333,0.823333,0.316546,9,432
3,7,0,0,2,0.716667,0.6825,0.228858,2282,2367
3,7,0,6,1,0.686667,0.585,0.208342,2418,3505
3,7,0,6,1,0.733333,0.609167,0.167912,1988,3348
4,10,0,6,1,0.521667,0.70125,0.0454042,2235,3174
3,8,0,4,2,0.71,0.7575,0.19715,799,3777
4,10,0,2,2,0.446667,0.761667,0.1903,601,5791
4,11,0,2,1,0.280833,0.567083,0.173513,466,5220
1,2,0,1,1,0.282609,0.622174,0.1538,206,3578
4,10,0,2,2,0.5325,0.701667,0.110087,637,4111
1,2,0,0,1,0.285833,0.568333,0.1418,354,1269
3,8,0,2,1,0.639167,0.548333,0.125008,775,4429
4,10,0,2,1,0.484167,0.71,0.205854,486,3970
4,9,0,6,2,0.606667,0.8625,0.0783833,1776,3647
1,2,0,4,2,0.316667,0.752917,0.091425,74,2931
4,10,0,2,1,0.471667,0.622917,0.166658,695,3992
3,7,0,6,1,0.755833,0.613333,0.15735,2234,4451
3,8,0,6,1,0.793333,0.613333,0.257458,2345,4479
4,11,0,4,1,0.408333,0.702083,0.136817,318,3656
4,11,0,2,2,0.458333,0.830833,0.258092,96,2818
3,7,0,2,1,0.713333,0.704167,0.165425,968,6248
1,3,0,4,1,0.198333,0.318333,0.225754,123,1562
1,12,0,2,2,0.325,0.7625,0.18845,103,1059
1,2,0,1,1,0.366667,0.490833,0.268033,253,4069
1,12,0,0,1,0.245833,0.515417,0.133083,408,1379
3,8,0,5,2,0.685,0.722917,0.139308,797,3356
4,11,0,3,2,0.440833,0.757917,0.335825,112,2454
1,1,0,5,1,0.274167,0.5075,0.378108,174,3040
3,9,0,4,2,0.696667,0.810417,0.142421,611,5592
4,12,0,0,2,0.3625,0.83875,0.100742,538,3248
4,11,0,0,1,0.459167,0.698333,0.208954,810,2261
2,5,0,3,2,0.414167,0.737083,0.328996,255,2378
2,3,0,0,2,0.253043,0.493913,0.1843,472,1221
4,11,0,6,1,0.326667,0.519167,0.189062,1156,2770
3,7,0,4,1,0.8275,0.457917,0.194029,1405,4836
4,10,0,6,1,0.554167,0.664167,0.268025,3031,4934
1,2,0,2,2,0.192174,0.829565,0.053213,47,1313
1,1,0,2,2,0.216667,0.861667,0.146775,9,674
1,12,0,3,2,0.428333,0.858333,0.2214,107,2553
3,7,0,4,1,0.776667,0.596667,0.284813,1036,5825
4,12,0,4,1,0.3125,0.524583,0.220158,182,3545
2,4,0,2,1,0.413333,0.454167,0.249383,518,5115
1,2,0,2,1,0.359167,0.395833,0.193417,229,4134
2,4,0,6,1,0.57,0.682917,0.283587,2541,4083
3,9,0,4,1,0.6125,0.637083,0.0827208,1054,6750
1,3,0,5,2,0.410833,0.407083,0.4148,447,4122
4,11,0,2,2,0.291667,0.786667,0.237562,123,3836
4,10,0,6,1,0.4225,0.629167,0.0926667,1499,2809
2,3,0,2,1,0.441667,0.624583,0.22575,460,2243
2,3,0,1,1,0.264348,0.302174,0.212204,222,1806
1,2,1,1,1,0.28,0.507826,0.229083,502,2627
4,10,0,3,3,0.541739,0.895217,0.243339,254,2170
3,8,0,0,2,0.676667,0.8175,0.222633,1338,2482
4,11,0,2,3,0.416667,0.9625,0.118792,69,1538
3,7,0,6,1,0.861667,0.492083,0.163554,1448,3392
2,5,0,2,1,0.775,0.636667,0.111329,673,3309
2,6,0,4,1,0.648333,0.569583,0.253733,1180,6183
4,12,0,3,1,0.3325,0.625417,0.184092,333,4934
2,6,0,0,2,0.699167,0.666667,0.102,1639,3105
2,5,1,1,1,0.7125,0.67625,0.196521,2557,3486
3,7,0,0,1,0.83,0.550833,0.169171,1050,2556
3,8,0,2,1,0.775,0.570417,0.151121,907,3695
3,9,0,3,1,0.5525,0.536667,0.215175,788,6803
2,4,0,3,1,0.348696,0.469565,0.295274,482,4380
3,8,0,6,2,0.68,0.85,0.375617,226,889
1,2,0,0,1,0.316522,0.457391,0.260883,397,1192
3,7,0,4,1,0.715833,0.529583,0.146775,1032,6414
4,11,0,2,2,0.343333,0.662917,0.342046,327,3767
4,12,0,0,1,0.220833,0.49,0.0665417,377,2366
1,2,0,3,2,0.26,0.775417,0.264308,72,1454
3,9,0,0,1,0.61,0.5475,0.224496,2570,5657
1,2,0,2,1,0.220833,0.537917,0.36195,64,1466
4,11,0,1,1,0.313333,0.535417,0.04665,337,4750
1,1,0,3,3,0.2175,0.8625,0.29385,34,472
4,11,0,5,1,0.361667,0.540833,0.214558,709,5283
4,11,0,5,1,0.375,0.64375,0.0988958,1095,1697
2,3,0,6,1,0.265833,0.394167,0.209571,981,1515
4,10,0,5,1,0.510833,0.684167,0.0223917,949,4036
2,5,0,5,1,0.68,0.747083,0.14055,1417,5317
3,6,0,2,1,0.630833,0.373333,0.347642,1077,6365
2,5,0,6,2,0.621667,0.756667,0.152992,2496,4387
3,8,0,3,1,0.766667,0.424167,0.200258,884,3896
2,5,0,0,2,0.5625,0.74,0.149879,2135,4224
4,10,0,1,3,0.44,0.88,0.3582,2,20
1,1,0,0,1,0.166667,0.419167,0.251258,284,2027
4,11,0,0,1,0.420833,0.659167,0.1275,2290,4562
4,12,0,2,2,0.385833,0.595417,0.0615708,216,3534
4,10,0,5,1,0.615,0.6275,0.10635,1516,6640
1,1,0,6,1,0.196522,0.651739,0.145365,123,975
1,2,0,1,1,0.2225,0.41125,0.167283,94,3328
3,8,0,0,2,0.653333,0.845833,0.228858,1483,3772
1,1,0,1,1,0.0973913,0.491739,0.15833,86,1330
2,6,0,5,1,0.62,0.354167,0.253121,898,4414
2,3,0,2,1,0.3025,0.314167,0.226996,317,2108
1,3,0,5,2,0.435833,0.842083,0.113192,548,3830
1,2,0,6,1,0.399167,0.187917,0.507463,532,1103
2,6,0,4,2,0.628333,0.688333,0.206471,545,3222
2,3,0,4,3,0.268333,0.918333,0.217646,179,1506
3,9,0,2,1,0.725833,0.755,0.236321,867,5997
4,9,0,0,1,0.529167,0.467083,0.223258,2454,5453
4,10,0,5,1,0.4375,0.539167,0.235092,1060,6222
2,6,0,6,1,0.696667,0.670417,0.119408,1807,3312
3,8,0,6,2,0.716667,0.755,0.22825,1521,2773
2,5,0,4,2,0.56,0.768333,0.133696,764,5657
2,4,0,5,1,0.403333,0.377083,0.300388,1807,4653
4,11,0,6,1,0.389167,0.645417,0.0578458,2090,4446
4,10,0,4,2,0.6575,0.722917,0.117546,891,6437
1,3,0,3,2,0.365217,0.776522,0.203117,321,1871
3,9,0,4,1,0.655,0.639167,0.141796,783,4332
3,9,1,1,1,0.7075,0.790833,0.151121,1965,4069
3,7,0,0,1,0.815833,0.51875,0.168529,1421,4110
1,1,0,5,1,0.1775,0.457083,0.353242,75,1468
3,9,0,6,1,0.65,0.646667,0.283583,2512,5883
4,11,0,5,1,0.368333,0.56875,0.148021,1603,2307
3,7,0,3,1,0.793333,0.577083,0.137442,799,4914
1,1,0,1,1,0.196364,0.437273,0.248309,120,1229
2,5,0,0,1,0.604167,0.749583,0.148008,1576,3084
1,1,0,3,2,0.274167,0.8475,0.131221,92,2085
1,3,0,2,1,0.560833,0.807917,0.121271,1051,5042
2,3,0,3,2,0.531667,0.82125,0.0895583,1122,5108
1,3,0,3,2,0.295833,0.775417,0.22015,191,1700
4,10,0,6,2,0.53,0.72,0.235692,2643,5209
1,12,0,4,2,0.254167,0.652917,0.350133,247,1867
4,11,0,5,1,0.274167,0.41,0.168533,245,3147
3,7,0,0,1,0.719167,0.604167,0.245033,2006,3296
3,9,0,5,1,0.633333,0.6725,0.103863,1379,6630
3,8,0,3,1,0.723333,0.575417,0.143667,668,4026
1,2,0,4,1,0.144348,0.437391,0.221935,47,1491
1,1,0,1,2,0.180833,0.60375,0.187192,42,1459
2,5,0,1,2,0.573333,0.789583,0.212692,342,2501
3,7,0,2,1,0.780833,0.492083,0.126237,1052,5608
4,11,0,0,1,0.440833,0.458333,0.281721,1004,2713
1,1,0,6,2,0.173333,0.83125,0.222642,67,1234
2,5,0,4,2,0.530833,0.829583,0.108213,735,3840
3,8,0,5,1,0.710833,0.630833,0.184696,1023,3843
2,4,0,5,1,0.4575,0.400833,0.347633,1014,5219
1,2,0,4,1,0.186957,0.437826,0.277752,61,1489
2,4,0,6,1,0.4725,0.503333,0.235075,1965,3347
4,12,0,5,2,0.320833,0.764167,0.1306,349,4659
4,12,0,6,1,0.275,0.5075,0.233221,502,2688
3,8,0,5,2,0.765833,0.6425,0.215792,1328,5847
3,9,0,6,1,0.66,0.75375,0.153608,1750,3595
3,7,0,1,1,0.7625,0.635833,0.282337,723,3363
4,12,0,6,2,0.381667,0.91125,0.101379,1153,4429
1,1,0,3,1,0.226957,0.436957,0.1869,82,1518
1,3,0,1,1,0.545,0.72875,0.162317,982,5171
4,9,0,0,2,0.634167,0.845,0.0503792,1544,3466
4,12,0,6,1,0.299167,0.612917,0.0957833,706,2908
4,10,0,2,2,0.318182,0.825455,0.213009,87,1009
3,7,0,4,2,0.815,0.69125,0.222021,632,3152
3,9,0,6,2,0.659167,0.799167,0.281104,1557,4419
2,4,0,1,1,0.606667,0.776667,0.185333,773,3300
1,3,0,0,2,0.376522,0.948261,0.343287,114,491
2,5,0,2,2,0.613333,0.659583,0.156096,653,5087
4,10,0,6,1,0.484167,0.572917,0.117537,2806,5284
4,12,0,5,1,0.314167,0.625833,0.100754,268,3672
1,1,0,0,1,0.3375,0.465,0.191542,599,2826
3,8,0,1,1,0.691667,0.47,0.27675,833,3925
3,7,0,5,2,0.709167,0.757917,0.225129,692,3348
1,3,0,6,1,0.329167,0.594583,0.220775,724,1408
3,7,0,3,1,0.72,0.743333,0.149883,784,3845
2,4,0,1,2,0.321667,0.766667,0.303496,195,3019
3,8,0,3,1,0.685,0.552083,0.112562,1177,6520
4,11,0,1,3,0.4475,0.91,0.138054,220,2545
1,12,0,4,1,0.248333,0.574167,0.119412,254,2169
2,4,0,1,2,0.595652,0.716956,0.324474,855,2493
3,8,0,2,1,0.640833,0.455417,0.146763,1281,4614
2,5,0,4,1,0.505833,0.552083,0.314063,1026,5546
2,5,0,2,2,0.561667,0.837917,0.277354,678,3445
2,4,0,2,2,0.5025,0.739167,0.274879,257,1777
4,12,0,5,1,0.281667,0.642917,0.131229,429,5182
2,4,0,1,2,0.464167,0.57,0.171638,665,4907
4,10,0,4,1,0.435,0.463333,0.181596,834,6736
1,3,0,6,2,0.414167,0.62125,0.161079,956,3110
3,8,0,4,1,0.706667,0.590417,0.0771167,1172,6541
3,8,0,3,2,0.75,0.672917,0.1107,1263,6271
3,6,0,5,1,0.834167,0.48875,0.165417,829,4634
1,3,0,5,2,0.353333,0.657083,0.144904,246,2948
4,11,0,3,1,0.296667,0.50625,0.210821,198,5062
2,3,0,0,2,0.4375,0.880833,0.220775,1532,3464
1,3,0,1,1,0.466667,0.489167,0.207713,838,4460
3,9,0,1,1,0.583333,0.50375,0.258713,1118,6407
1,2,0,2,1,0.287826,0.594348,0.205717,163,3614
4,10,0,4,1,0.494167,0.620833,0.134954,639,4126
2,4,0,2,2,0.414167,0.642083,0.388067,167,1628
3,7,0,5,1,0.663333,0.59125,0.182833,1318,4220
4,11,0,2,1,0.400833,0.68375,0.135571,410,3658
3,9,0,2,1,0.5775,0.52,0.0920542,1070,6697
3,8,0,0,1,0.769167,0.6525,0.290421,1707,3757
3,7,0,4,1,0.77,0.600417,0.165429,888,5703
1,2,0,3,1,0.469167,0.507917,0.189067,304,4275
3,6,0,4,1,0.696667,0.434167,0.185312,1027,4488
2,4,0,3,1,0.595,0.614167,0.241925,613,3331
3,7,0,2,1,0.771667,0.540833,0.200258,750,3840
1,2,0,4,1,0.454167,0.554583,0.190913,516,4546
4,9,0,4,1,0.616667,0.699167,0.172883,653,4186
4,9,0,5,2,0.609167,0.9725,0.0783667,258,2137
2,4,0,4,1,0.459167,0.407083,0.325258,745,3444
1,1,0,4,1,0.165,0.470417,0.301,38,1368
3,6,0,6,1,0.731667,0.534583,0.179721,2657,4801
1,1,0,6,1,0.393333,0.531667,0.174758,1070,3451
1,2,0,5,1,0.343333,0.634583,0.205846,349,3805
1,12,0,4,2,0.423333,0.7575,0.047275,227,2841
1,2,0,4,1,0.265,0.562083,0.194037,163,3667
2,5,0,0,1,0.69,0.697083,0.215171,3283,3308
1,2,0,2,2,0.319167,0.50875,0.141179,135,3787
1,2,0,6,3,0.224167,0.73125,0.289796,192,1977
2,4,0,0,2,0.581667,0.810833,0.192175,1710,2481
3,8,0,1,1,0.665833,0.712083,0.208954,775,3563
2,5,0,0,1,0.6125,0.57625,0.225117,2172,3946
2,4,0,3,1,0.390833,0.470833,0.263063,413,2395
3,8,0,0,2,0.635833,0.711667,0.08645,1208,3341
1,3,0,4,1,0.415,0.602917,0.209579,424,2320
2,4,0,3,1,0.476667,0.427917,0.118792,655,5541
4,10,0,0,1,0.511667,0.486667,0.281717,1748,3293
4,10,0,0,2,0.356667,0.791667,0.222013,616,2302
3,6,0,6,1,0.695,0.483333,0.209571,1782,3420
2,4,0,0,1,0.378333,0.48,0.182213,1651,1598
3,9,0,0,1,0.58,0.57,0.0901833,2166,5167
3,8,0,4,1,0.719167,0.519167,0.141796,1338,6267
4,11,0,0,2,0.463333,0.684583,0.18595,787,2733
1,1,0,0,1,0.216522,0.722174,0.0739826,140,956
2,5,0,0,1,0.528333,0.631667,0.0746375,1401,2932
4,11,0,3,1,0.353333,0.61375,0.103246,615,4531
2,4,0,5,2,0.336667,0.729583,0.219521,177,1506
3,6,0,2,2,0.680833,0.770417,0.171025,774,4061
1,3,0,0,1,0.325833,0.403333,0.334571,710,2713
1,2,0,4,2,0.295652,0.697391,0.250496,100,1707
1,2,0,1,1,0.271667,0.738333,0.0454083,120,1592
2,4,0,0,3,0.396667,0.835417,0.344546,120,907
2,5,0,6,1,0.564167,0.480417,0.123133,2622,4807
3,7,0,0,1,0.745833,0.717917,0.166667,1920,4111
2,6,0,2,1,0.688333,0.69,0.148017,968,5857
1,3,0,3,1,0.5725,0.507083,0.115062,997,5315
2,4,0,1,1,0.573333,0.42625,0.385571,734,2381
1,2,0,5,1,0.313333,0.526667,0.178496,310,3841
1,12,0,0,1,0.255833,0.483333,0.350754,364,1432
4,10,0,3,1,0.455833,0.692917,0.101371,979,6482
3,9,0,4,3,0.633913,0.939565,0.192748,153,1689
2,3,0,6,2,0.424167,0.738333,0.250617,2301,3934
4,9,0,2,2,0.636667,0.885417,0.118171,477,3643
1,12,1,1,1,0.321739,0.506957,0.239465,430,887
3,8,0,3,1,0.6675,0.677083,0.0702833,1094,6281
2,3,0,4,1,0.554167,0.83125,0.117562,1334,5537
4,9,0,1,1,0.514167,0.492917,0.142404,1001,6435
1,12,0,5,1,0.373333,0.68625,0.274246,163,2046
1,2,0,3,1,0.395833,0.567917,0.234471,394,4379
4,11,0,3,1,0.4,0.758333,0.0621958,305,3804
3,7,0,4,1,0.779167,0.583333,0.178479,606,3784
3,7,0,3,1,0.716667,0.633333,0.151733,975,6289
3,7,0,5,1,0.848333,0.580417,0.1331,562,2825
3,6,0,3,1,0.728333,0.497917,0.261821,848,4377
2,4,0,0,1,0.5,0.275833,0.232596,2230,2939
2,4,0,6,2,0.3425,0.8775,0.133083,879,1576
3,6,0,4,2,0.728333,0.703333,0.238804,746,4044
4,11,0,5,2,0.403333,0.6225,0.271779,470,3576
4,9,0,3,2,0.635,0.84875,0.148629,480,3427
3,9,0,6,1,0.669167,0.716667,0.185325,1935,2549
3,9,0,4,2,0.5775,0.709167,0.271146,428,3231
2,5,1,1,1,0.733333,0.685,0.131225,1549,2549
4,12,0,1,2,0.393333,0.907083,0.0982583,212,4373
1,2,0,5,2,0.211304,0.585217,0.127839,88,1620
2,5,0,6,1,0.6925,0.7325,0.198992,2855,3681
4,10,0,6,1,0.393333,0.494583,0.146142,2252,4857
1,1,0,1,2,0.218333,0.91125,0.110708,145,2287
1,1,0,4,1,0.265833,0.524167,0.129987,140,3132
4,10,1,1,1,0.570833,0.73375,0.0423042,1514,3603
2,4,0,4,1,0.435,0.374167,0.219529,1192,5265
2,5,0,4,1,0.708333,0.6775,0.199642,758,3919
1,12,0,6,2,0.253333,0.752917,0.124383,159,1182
4,10,0,4,2,0.47,0.812917,0.197763,240,2419
1,3,0,4,1,0.5575,0.579583,0.149883,1005,5187
1,2,0,6,1,0.346667,0.534583,0.190929,1435,2883
1,1,0,2,1,0.2,0.590435,0.160296,108,1454
2,4,0,6,3,0.430833,0.888333,0.340808,121,674
4,9,0,1,2,0.649167,0.848333,0.1107,684,3946
1,2,0,5,1,0.521667,0.516667,0.264925,579,2348
3,9,0,0,1,0.5075,0.695,0.178483,1353,2921
1,1,0,4,1,0.204348,0.518261,0.0895652,88,1518
3,7,0,1,1,0.741667,0.694167,0.138683,1135,5831
1,3,0,2,1,0.258333,0.456667,0.200875,221,3735
3,8,0,3,1,0.7175,0.6775,0.141179,1074,6506
2,4,0,6,2,0.315,0.65375,0.197146,898,1354
3,8,0,0,1,0.7425,0.752917,0.201487,1298,2487
2,6,0,3,1,0.7825,0.592083,0.113812,872,5339
4,11,0,3,1,0.3775,0.71875,0.0820917,370,3816
1,12,0,6,1,0.3025,0.5425,0.190304,155,856
1,2,0,6,1,0.2225,0.544167,0.203367,288,1184
